"sous_corpus","expression","Phrase(s)"
"Sequoia","fournir travail","§ ['fournir', 'travail'] : Nous avons dès lors décidé, même si on ne nous avait pas demandé d'élaborer de nouvelle proposition, de fournir un travail supplémentaire pour clarifier les options politiques qui sont sur la table et de présenter une nouvelle proposition au Conseil."
"ESLO_ANCOR","prendre position","§ ['prend', 'position'] : oui euh par exemple on nous a reproché nous en tant je pars toujours en tant qu' organisation syndicale de ne pas avoir été assez loin de ne pas avoir euh fait davantage dans la conjoncture euh internationale nationale d' abord et internationale par la suite ça nous était pas possible d' aller d' aller tellement plus loin c' était pas le but le but de l' action des r- des travailleurs c' était une action revendicative ça n' était pas une action politique d' ailleurs c' est le but des syndicats les la politique on le laisse aux partis politiques ce qu' on peut dire notre accord vis-à-vis d' un parti politique quand il prend une position en faveur des tavailleurs on peut on peut dire que nous on est d' accord avec sa position mais là ça n' était pas un but politique c' était surtout un but revendicatif et au point de vue revendication il est certain que les travailleurs ont obtenu beau- quand même euh pas mal de choses les salaires la prise de conscience de leur force et aussi les avantages qui sont pas négligeables les le droit syndical à l' entreprise qui permet aux travailleurs d' aller discuter enfin par l' intermédiaire de délégués avec des employeurs et é- évi- effectivement euh actuellement on assiste à une montée des prix mais elle n' est pas forcément due aussi à l' augmentation des salaires ni aux évènements de mai il y a pour nous euh l' incorporation de la T V A depuis le premier janvier dans le prix de vente des marchandises qui augmente considérablement les marchandises notre vendeur est parti mais il pourrait vous dire que euh le prix marchandise qui est reçu à cinq francs dans un magasin est revendu à mille francs alors vous voyez ça culbute d' où la l' incorporation de la TVA puis le bénéfice du du patron bien sûr alors cette euh augmentation des sal- des prix n' est pas due à l' augmentation euh des salaires en mai et juin ça suffit pas pour expliquer l' augmentation des prix"
"ESLO_ANCOR","avoir rôle","§ ['a', 'rôle'] : oui parce que euh vous savez euh on dit on met toujours ça sur le rôle de l' instituteur ah l' instituteur il en fait il il fait sa classe il n' en fait à il a son rôle mais à la maison la maison moi je trouve que c' est c' est primordial euh les les l' ambiance de la maison euh ce que les enfants entendent ce que les enfants voient euh c' est primordial des fois des fois ça leur convient pas toujours mais ils y viennent et parce que ils veulent pas être imposés mais ils y viennent automatiquement ils y viennent et je trouve que c' est surtout ça la"
"ESLO_ANCOR","avoir idée","§ ['ont', 'idées'] : ce que l' école devrait apprendre aux enfants ben ça on sait pas trop ce qu' ils devraient l' école devrait apprendre aux enfants parce que je crois que ce sont ça c' est un travail de professeurs c' est pas un travail de parents les parents ont des idées qui sont complètement fausses parce qu' ils ne suivent pas l' évolution comme les professeurs peuvent la suivre je crois qu' ils doivent leur apprendre évidemment les notions élémentaires ils doivent leur apprendre à compter et à à bien s' exprimer à calculer un tas de choses mais euh je crois qu' ils devraient leur apprendre que l' école est surtout un début mais ce n' est pas une fin en soi quand on sort de l' école on sait rien du tout et que le combat commence à la sortie de l' école  § ['ont', 'idées'] : bah je crois que c' est là que les lycées ont quand même euh un gros travail à faire c' est à eux de le faire c'est-à-dire les enfants ont des idées tordues euh les parents ils ont des idées tordues ils ont les ils ont ils ont les idées euh qu' ils connaissent ils n' ont pas tandis que les professeurs ont quand même euh des idées beaucoup plus larges que nous  § ['avoir', 'idées'] : et euh si je voulais euh m' en occuper je pense qu' il faudrait vraiment s' en occuper à fond euh ça peut être un bien ça peut être un mal euh ça dépend ce qu' on entend par participation je crois que il ne faut pas faire de démagogie les enfants sont à l' école d' abord il y a il y a plusieurs âges il y a les des gens les les écoles secondaires et l' université l' université on a affaire à des gens à des hommes on a affaire à des gens de dix-huit vingt ans quelquefois plus ce n' est pas le même problème que pour les lycéens je crois que pour les lycéens euh moi je pense que c' est une erreur dans mon âge c' était un bonheur d' aller à l' école d' aller au lycée on supportait on subissait et je crois que c' est un peu oui c' est un peu normal la participation peut intervenir sur euh certaines choses mais pas sur les choses prépondérantes je crois qu' il faut se plier à une certaine discipline parce que dans la vie de toute façon on se plie à la discipline on se plie à la discipline et si j' ai trois cents ouvriers sous mes ordres ils se plient à la discipline du patron et moi je me plie à la discipline du mien alors euh il faut aussi les apprendre et les discipliner il ne faut pas que ça tombe dans l' anarchie ou dans la dogm- ou faire de et il y a beaucoup de gens euh beaucoup de professeurs je crois euh beaucoup de patrons qui font de la démagogie je crois que c' est une erreur quand on est un homme il faut garder avoir ses idées et les garder elles sont bonnes elles sont mauvaises mais il ne faut pas non plus euh plier aux aux premières difficultés absolument pas ça ne veut pas dire que il faut remettre en vigueur les les verges dans les lycées pour fouetter les enfants absolument pas ça euh je crois que les les lycéens peuvent peut-être avoir droit de de consultations on peut leur demander leur avis mais ça ne doit pas tellement influer sur le la direction de du lycée je pense pas tandis que à l'"
"Sequoia","remporter succès","§ ['remporte', 'succès'] : Bourse dédiée aux passionnés et amateurs reposant sur le principe du troc et qui remporte un vif succès."
"ESLO_ANCOR","produire résultat","§ ['produit', 'résultat'] : ça a peut-être produit ce résultat"
"Sequoia","trouver refuge","§ ['trouver', 'refuge'] : Aussitôt, les gendarmes effectuaient une enquête de voisinage et s'informaient auprès des hôpitaux ou de tout autre endroit où aurait pu trouver refuge la jeune fille."
"ESLO_ANCOR","exercer contrôle","§ ['exercer', 'contrôle'] : et comment devrait- on exercer ce contrôle ?  § ['exercer', 'contrôle'] : oui oui comment devrait- on exercer cet ce contrôle alors ça c' est difficile n' est -ce pas ?"
"ESLO_ANCOR","influence avoir","§ ['influence', 'a'] : euh oui oui d' accord oui ça euh d' accord mais enfin euh sur le plan si vous voulez de des de la conduction de euh de la direction du pays il n' ont certainement pas plus d' influence que n' en a euh la reine d' Angleterre"
"ESLO_ANCOR, ESLO_CO2","lui poser question","§ ['vous', 'poser', 'question'] : ou pour faire rire peut-être je vais vous poser une question  § ['vous', 'poser', 'question'] : j' aimerais vous poser une dernière question mais alors vous n' êtes pas obligée d' y répondre est -ce qu' il y a un parti politique qui représente bien vos opinions  § ['vous', 'pose', 'question'] : je vous pose la question"
"ESLO_ANCOR","avoir possibilité","§ ['a', 'possibilités'] : ah oui remarquez que en France c' est un peu ça aussi hein ? c' est un peu c' est un peu cette histoire -là aussi quand on voit que euh on a des possibilités intellectuelles qui peuvent vous mener plus loin euh autant en profiter pour repasser euh d' autres examens et tout ça parce que plus vous en avez et et mieux vous êtes placés c' est toujours la même histoire"
"ESLO_ANCOR","avoir intérêt","§ ['a', 'intérêt'] : hm hm hein ? ben quand ça a un certain intérêt peut-être ça arrive quelquefois que des lettres ont plus d' intérêt que d' autres sui- suivant leur intérêt si vous voulez"
"ESLO_ANCOR","prendre le temps","§ ['prendre', 'le', 'temps'] : hm oui enfin question surtout de s' arrêter de prendre le temps  § ['le', 'temps', 'prends'] : alors tout ça alors je me dis toujours euh vous voyez que je j' ai toujours du temps je prends toujours le temps parce que je veux faire des des euh des reliures je veux faire des cette sorte de choses euh s' arrête"
"emea","avoir fracture","§ ['eu', 'fracture'] : Chez les patients ayant eu une fracture de hanche récente secondaire à un traumatisme modéré, il est recommandé de réaliser l'administration d'Aclasta 2 semaines ou plus après l'intervention sur la fracture (voir rubrique 5.1).  § ['eu', 'fracture'] : Dans le cas où vous avez eu récemment une fracture de hanche, il est recommandé qu'Aclasta soit administré 2 semaines ou plus après réparation de votre fracture.  § ['eu', 'fracture'] : Chez les patients ayant eu récemment une fracture de hanche, il est recommandé d'administrer Aclasta 2 semaines ou plus après réparation de la fracture."
"ESLO_ANCOR","faire recherche","§ ['font', 'recherche'] : qui font de la re- peut-être une certaine recherche dans la danse dans le théâtre et c' est intéressant mais je pense que de toute façon ils n' atteignent pas le public populaire ça je crois pas du tout hein"
"ESLO_ANCOR","exercer activité","§ ['exercer', 'activité'] : on ne doit jamais s' arrêter enfin disons que la formation de base euh doit s' arrêter euh euh très naturellement au moment où l' enfant euh euh a envie de se marier et je j' admets que l' âge normal de se marier étant de vingt- et-un vingt-deux vingt-trois ans il faut qu' à peu près à cette époque -là si vous voulez il ait acquis euh suffisamment de bagage intellectuel pour pouvoir alors exercer une activité productrice mais il faudrait absolument que que son activité intellectuelle euh gratuite continue absolument encore une fois de la même façon que c' est comme si vous me disiez à quel âge faut- il s' arrêter de faire du sport"
"ESLO_ANCOR","effort faire","§ ['efforts', 'faits'] : voyez y a y a pas mal y a pas mal euh de problèmes qui peuvent être soulevés euh sur le plan de l' administration d' une euh d' une ville comme Orléans y a le problème de l' habitation de ce côté -là y a eu de gros efforts euh qui ont été faits"
"ESLO_ANCOR","avoir contact","§ ['avoir', 'contacts'] : d' avoir des contacts euh beaucoup plus fréquents que maintenant avec les troupes américaines ou les troupes anglaises  § ['ai', 'contacts'] : d' ailleurs par exemple nous avons très peu de contact avec eux moi j' ai des contacts avec ces gens -là au uniquement sur le plan professionnel mais ça ne déborde jamais absolument pas puis alors il y a également l' aristocratie des Beaucerons euh des paysans beaucerons alors là qui est extrêmement fermée qu' on ne voit jamais ils vivent ah oui oui absolument parce que j' en connais ces gens sont très bien sont très sympathiques mais enfin ça ne déborde pas le le cadre professionnel absolument pas en dehors de du travail on a absolument aucun contact  § ['a', 'contact'] : oui il y a la classe euh bourgeoise euh qui n' a aucun contact avec la classe ouvrière"
"emea","diriger se","§ ['dirigez', 'vous'] : Après votre sortie de l'hôpital : dirigez vous immédiatement au service des urgences de l'hôpital le plus proche"
"Sequoia","revêtir caractère","§ ['revêtaient', 'caractère'] : Lionel Jospin écrit : ""Il m'a été donné de dire à plusieurs reprises combien les persécutions antisémites et les actes qui en ont découlé revêtaient un caractère particulier aux yeux de l'histoire et de la morale""."
"Sequoia","avoir air","§ ['auront', 'air'] : Il n'empêche que dorénavant les défilés montbéliardais auront un petit air tristounet."
"frwiki","ordonnance signer","§ ['ordonnance', 'signé'] : Le 11 février 2004, l'ordonnance de renvoi devant le tribunal de 47 prévenus a été signé par le juge Armand Riberolles."
"Sequoia","classer sans suite","§ ['classée', 'sans', 'suite'] : L'enquête sur sa mort a été classée sans suite, étant considérée comme accidentelle."
"Sequoia","entraîner irrégularité","§ ['entraîne', 'irrégularités'] : Il n'est pas clairement établi à ce jour qu'Aclasta entraîne ces irrégularités du rythme cardiaque mais en cas de survenue des ces symptômes après avoir reçu Aclasta vous devez en faire part à votre médecin."
"ESLO_ANCOR","enseignement donner","§ ['enseignement', 'donnait'] : je crois que l' enseignement qu' on nous donnait à nous autrefois c' était c' était c' était plus complet c' était ça nous préparait mieux à la vie je crois  § ['donnait', 'enseignement'] : et que ça ne soit pas trop livresque parce que au fond euh je sais pas si c' est le défaut en Angleterre mais en France jusqu' à maintenant euh l' enseignement qu' on leur donnait est un enseignement très très livresque et assez coupé de la vie"
"ESLO_ANCOR","passer vacance","§ ['passerez', 'vacances'] : ah oui ? oui oui enfin c' est elle qui décide aussi par exemple de l' endroit où vous passerez vos vacances ?  § ['passerez', 'vacances'] : hm hm hm hm et est -ce que vous pouvez me dire euh comment vous passerez les vacances d' été l' année prochaine ?  § ['passer', 'vacances'] : oh les vacances vous savez j' ai été passer les vacances l' autre fois j' ai été en Allemagne de l' Est j' étais en Allemagne de l' Est mais c' était des vac- ouais c' était des vacances mais c' était plutôt un voyage d' étude ouais c' est ça un voyage d' étude remarquez j' ai bien passé c' était c' était des vacances par rapport à c' était un changement"
"frwiki","combat mener","§ ['combat', 'mené'] : combat contre les institutions, mené sans relâche, qui dura près de deux décennies et qui, en dehors de son activité d'institutrice, l'occupa à plein temps."
"ESLO_ANCOR","avoir conséquence","§ ['eu', 'conséquences'] : et alors depuis mai euh ? quels ont été les résultats enfin est -ce que la la poussée a continué est -ce que ça ça a eu des conséquences importantes ?  § ['eu', 'conséquences'] : on a eu des conséquences importantes parce que les les les les gars les ouvriers ont pris conscience que seuls ils pouvaient rien faire et avec le syndicat"
"ESLO_ANCOR","prendre cours","§ ['pris', 'cours'] : au point de vue je j' avais pris des cours de coupe et de couture euh après mon mes études"
"ESLO_ANCOR","avoir connaissance","§ ['avoir', 'connaissances'] : donc euh je pense qu' une école enfin une bonne école devrait euh permettre à tous de d' être heureux et d' avoir de faire des c- d' avoir des connaissances"
"Sequoia","enquête réaliser","§ ['enquête', 'réalisée'] : L'enquête réalisée par le conseil municipal des jeunes avait mis en évidence l'intérêt des adultes pour ces activités artistiques."
"ESLO_ANCOR","avoir besoin","§ ['a', 'besoin'] : on en a tous besoin des fois pour surtout dans nos professions  § ['a', 'besoin'] : eh bien on en a besoin ça nous a fait du bien mais on on on était bien content quand on sortait par exemple"
"Sequoia","effectuer liaison","§ ['effectue', 'liaisons'] : Le premier retour de familles (adultes, femmes, enfants) a lieu par la ""traversée du Beach"" (navette fluviale qui effectue les liaisons Brazzaville-Kinshasa), et comprend environ 1500 personnes, sous le contrôle du HCR."
"ESLO_ANCOR","avoir intention","§ ['avais', 'intention'] : eh bien j' avais l' intention d' aller au Mexique seulement le Mexique euh il faut avoir des des v- des devises alors si ça continue comme ça y a pas moyen"
"ESLO_ANCOR","être il temps","§ ['est', 'nous', 'temps'] : jamais oh ben c' est parce que nous n' avons pas le temps"
"ESLO_ANCOR","donner impression","§ ['donne', 'impression'] : bah parce que celui qui reçoit une lettre qui est remplie de fautes d' orthographe ça donne mauvaise impression"
"emea","subir traitement","§ ['subir', 'traitement'] : Il est utilisé en conjonction avec de l'aspirine et du clopidogel (médicaments contribuant à prévenir les caillots sanguins) chez les patients sur le point de subir un traitement pour leur SCA, comme un traitement médicamenteux, subissant une angioplastie ou un pontage coronarien.  § ['subir', 'traitement'] : Il est utilisé en conjonction avec de l'aspirine et du clopidogel (médicaments contribuant à prévenir les caillots sanguins) chez les patients sur le point de subir un traitement pour leur SCA, comme un traitement médicamenteux, subissant une angioplastie ou un pontage coronarien."
"emea","étude mener","§ ['étude', 'menée'] : Les données suivantes relatives aux réactions indésirables sont basées sur une étude clinique menée avec la bivalirudine chez 13 819 patients atteints de SCA ;  § ['étude', 'menée'] : Les données suivantes relatives aux réactions indésirables sont basées sur une étude clinique (REPLACE 2) menée avec la bivalirudine chez 6000 patients subissant une ICP, dont la moitié ont été traités par bivalirudine."
"ESLO_ANCOR, ESLO_CO2","prendre sanction","§ ['prenait', 'sanctions'] : oui et est -ce que est -ce qu' on prenait des sanctions quelquefois ?  § ['prenait', 'sanctions'] : hm hm et prenait- il des sanctions ?  § ['prenait', 'sanctions'] : est -ce qu' il prenait des sanctions ?"
"emea","atteindre insuffisance","§ ['atteints', 'insuffisance'] : Elle est réduite d'environ 20% chez les patients atteints d'insuffisance rénale modérée ou sévère et de 80% chez les patients dépendants de la dialyse (Tableau 11).  § ['atteints', 'insuffisance'] : Chez les patients atteints d'insuffisance rénale, les paramètres de la coagulation tels que l'ACT peuvent être monitorés pendant un traitement par Angiox."
"emea","présenter saignement","§ ['présentant', 'saignement'] : présentant un saignement actif ou un risque accru de saignement en raison de troubles de l'hémostase et/ou de troubles irréversibles de la coagulation ;"
"Sequoia","couper le herbe sous le pied","§ ['couper', ""l'"", 'herbe', 'sous', 'le', 'pied'] : La semaine passée, il a été accusé d'avoir voulu couper l'herbe sous le pied au Président de la Commission, M. Prodi.  § ['couper', ""l'"", 'herbe', 'sous', 'le', 'pied'] : Si vous avez tant besoin de couper l'herbe sous le pied de quelqu'un, je vous proposerais de vous en prendre à M. Solana."
"Sequoia","mettre en scène","§ ['mis', 'en', 'scène'] : L'affaire des photos d'Adnan Hajj est une controverse ayant pour objet certains clichés ""mis en scène"" et des retouches réalisées par le photographe libanais indépendant Adnan Hajj, sur des photos diffusées par l'agence Reuters et reprises par la presse internationale.  § ['mettre', 'en', 'scène'] : Dans un premier temps, ils ont étudié les dialogues du livre et en ont extrait quelques-uns pour mieux les mettre en scène.  § ['mettre', 'en', 'scène'] : Quelques mois auront été nécessaires pour mettre en scène le Petit Prince."
"emea","atteindre maladie","§ ['atteints', 'maladie'] : Aclasta a été étudié chez des hommes et femmes âgés de plus de 30 ans atteints de la maladie de Paget principalement légère à modérée (taux médians de phosphatases alcalines sériques 2,6 à 3,0 fois la limite supérieure de la normale en fonction de l'âge à l'inclusion dans l'étude) et confirmée par radiographies."
"ESLO_ANCOR","suivre cours","§ ['suivez', 'cours'] : non même pour enfin lettres modernes euh tout ça vous ne suivez pas certains cours à Orléans ou ?"
"Sequoia","prendre à partie","§ ['pris', 'à', 'partie'] : Lorsqu'il revient dans sa voiture, il est pris à partie par trois individus qui s'engouffrent aussitôt dans son véhicule et le forcent à les emmener pour un périple dans le Pays de Montbéliard : Bethoncourt, Sochaux, Audincourt, Valentigney, Montbéliard et retour au point de départ."
"ESLO_ANCOR","avoir responsabilité","§ ['avez', 'responsabilités'] : mais alors vous vous avez des responsabilités qui sont pas inscrites au contrat ?"
"emea","présenter symptôme","§ ['présentant', 'symptômes'] : Le pourcentage de patients présentant des symptômes après l'injection était respectivement de 19,5%, 10,4%, 10,7% après la première, deuxième et troisième perfusion, dans une étude de plus petite taille où le traitement symptomatique décrit ci-dessous avait été utilisé."
"emea","souffrir de syndrome","§ ['souffrant', 'de', 'syndrome'] : Angiox est utilisé pour traiter les patients adultes souffrant de ""syndrome coronaire aigu"" (SCA, réduction du flux sanguin vers le coeur), comme un angor instable (douleurs thoraciques de gravité variable) ou un infarctus du myocarde (crise cardiaque) sans ""sus-décalage du segment ST"" (relevé anormal à l'électrocardiogramme ou ECG)."
"Sequoia","faire partie","§ ['faisait', 'partie'] : Les douze membres du Conseil d'administration de la Juve, dont faisait partie Moggi, démissionnent le 11 mai 2006 [2].  § ['faisaient', 'partie'] : Triste pour les musiciens qui, en majorité, faisaient partie de la batterie depuis au moins trente ans.  § ['faisaient', 'partie'] : Denise et son époux René, ancien lieutenant des pompiers de l'Isle-sur-le-Doubs, faisaient aussi partie de l'Union nationale des combattants."
"ESLO_ANCOR","faire guerre","§ ['fait', 'guerre'] : quand je vois avec eux lui ben il a fait la guerre il a fait la guerre de il a fait la campagne de France d' Italie et de Russie alors il a pas envie de recommencer il aurait dit en Italie oui la nourriture hein c' était pas fameux en France il a dit en France on mangeait bien oui mais en Russie alors là il y avait rien du tout ah rien"
"ESLO_ANCOR","donner réponse","§ ['donner', 'réponse'] : et puis dès que qu' on estime qu' ils sont capables de donner une réponse valable enfin de toute façon on leur fait faire des on leur fait des audiogrammes très souvent et dès qu' on estime avoir une réponse valable on les appareille hein ?  § ['donne', 'réponse'] : euh eh ben ça ça a rendu la parole plus facile parce que des un commerçant quand vous lui offrez quelque chose qui vous donne une une réponse on ne on ne trouvait pas on la trouve mais ça vient ça vient trop longtemps après"
"ESLO_ANCOR","faire service","§ ['fait', 'service'] : trop facile alors aux fiançailles j' ai dit à la maman je dis bien euh ce celui qui est photographe fait son service militaire je dis quand il va être euh avoir fini son service militaire vous allez peut être l' installer oh elle dit pensez vous elle dit l' installer ça serait beaucoup trop de responsabilités trop fatigant on a un oncle qui est dans la librairie qui est chose comme ça alors euh voilà alors y en a un plus petit qui a huit ans mais alors on le garde à la maison il a une institutrice particulière et"
"ESLO_ANCOR","avoir importance","§ ['ont', 'importance'] : ben je dois dire que je ne peux pas répondre à cette question parce que je suis pas tellement au courant de des études que l' on fait actuellement dans les dans les lycées secondaires ou universités il y a beaucoup de changements les math- je ne pense pas euh vous savez ce que disait je crois euh il est euh euh quand on fait des études secondaires euh ce qu' il disait exactement euh la culture euh c' est ce qui reste que lorsqu' on a tout oublié c' est ça hein je crois que il avait raison on oublie un tas de choses il vous reste quand même une certaine base qui de toute façon vous est utile euh les matières négligées dans l' enseignement n' ont pas tellement d' importance ce qui compte c' est que les gens que les enfants aient l' esprit ouvert et après ils apprendront d' eux-mêmes ils pourront l' apprendre je crois que l' important c' est d' ouvrir l' esprit faut pas tout apprendre on peut pas apprendre tout euh  § ['a', 'importance'] : de milieu de milieux familiaux je crois que le milieu familial a une grande importance l' enfant euh dont les parents ont une certaine un certain degré de d' éd- d' éducation d' évolution est peut-être mieux pla- mieux mieux placé que celui euh dont les parents euh n' ont pas euh fait des études euh suffisantes je crois que ça peut quand même euh en cert- dans une certaine mesure ça peut intervenir mais celui qui est pas intelligent de toute façon il réussira pas"
"ESLO_ANCOR","avoir capacité","§ ['ont', 'capacités'] : moi je crois y a déjà y a la ça dépend des individus de de l' individu si on veut dire y a des enfants qui ont des capacités j' ai vu là et d' autres qui en ont pas puisque dans mes deux filles j' en ai une qui réussissait tout et l' autre euh en fait ça ne lui plaisait pas elle se donnait pas de mal euh y en a qui se donnent du mal y en a qui s' en donnent pas d' autres qui ont des facilités d' autres qui n' en ont pas alors en plus y a y a des enfants dont personne s' occupe et d' autres que dont les parents peuvent s' occuper si ils ont eu euh ben eux-mêmes une éducation avant"
"ESLO_ANCOR, ESLO_CO2","faire étude","§ ['faire', 'études'] : hm hm vous pensez que d' une façon générale enfin les filles devraient faire autant d' études que les garçons ?  § ['fasse', 'études'] : euh à votre avis jusqu' à quel âge faudrait- il que qu' on fasse des études ?  § ['faites', 'étude'] : ah oui ah bien sûr sinon je le ferais pas c' est un travail passionnant parce que c' est euh une invention tous les jours il faut inventer quelque chose lorsque vous prenez un chantier vous allez vous partez sur des plans vous faites une étude ce qu' on appelle une étude commerciale qui vous permet de déterminer les prix si vous avez déterminé ces prix et euh sa part comprend en général le moins disant et c' est là que les difficultés commencent parce que en général quand on a fait l' étude commerciale on a pas fait d' étude technique parce qu' on a pas"
"ESLO_ANCOR","faire confiance","§ ['fait', 'confiance'] : ou alors elle a essayé elle nous a quittés pendant un certain temps et vous là ça fait trois ans que le patron est décédé bon eh bien elle nous a quittés elle revient elle dira pas un mot à la dame parce que la dame ne venait jamais au magasin le rien du tout alors euh pour elle bon bien c' est elle est pas intéressante parce que elle ne travaillait pas avant vous comprenez ? alors nous comme c' est nous qui faisons les achats alors au fond on a les mêmes achats on fait les mêmes achats que notre patron on sait ce qu' il achetait elle la dame elle est là elle nous fait confiance  § ['fais', 'confiance'] : je fais systématiquement confiance bon alors euh si vous y voyez pas d' inconvénient on change le d' onde pendant quelques minutes euhm j' ai si on passait aux questions plus précises et puis on va passer à quelque chose plus général pour terminer en beauté enfin la toute première question est -ce qu' il y a chez vous un dictionnaire ?  § ['fait', 'confiance'] : bien moi je trouve un bon client premièrement d- s- nous notre maison elle est spéciale voyez- vous c' est vraiment la la clientèle sûre la clientèle la bonne bonne clientèle hein alors euh qui achète assez le beau qui fait confiance encore quand même à nous"
"ESLO_ANCOR","avoir habitude","§ ['ai', 'habitude'] : je sais pas j' ai l' habitude je l' ai j' arrive de je prends une autre une autre station c' est pas qu' ils sont mal mais j' ai l' habitude je connais tout le l' Europe numéro Un je sais déjà euh j' ai l' habitude c' est c' est toute la journée je suis avec j' ai le j' ai d' ailleurs j' ai quatre quatre postes je crois si  § ['ai', 'habitude'] : moi j' ai l' habitude de celle -là c' est pour ça  § ['avez', 'habitude'] : vous avez l' habitude ?"
"ESLO_ANCOR","recevoir éducation","§ ['recevoir', 'éducation'] : et vous croyez que les filles et les garçons doivent recevoir la même éducation enfin la même instruction ?"
